dataset,question_id,question_text,split,early_stop_correct_proportions
gsm8k,train_0,"<｜User｜>Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?<｜Assistant｜>",train,"[0.0, 0.02, 0.43, 0.76, 0.82, 0.67, 0.81, 0.94, 0.78, 0.93, 0.91, 0.86, 0.82, 0.88, 0.87, 0.9]"
gsm8k,train_1,"<｜User｜>Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?<｜Assistant｜>",train,"[0.65, 0.14, 0.64, 0.79, 0.84, 0.83, 0.94, 0.92, 0.94, 0.97, 0.91, 0.88, 0.84, 0.85, 0.82, 0.83]"
gsm8k,train_2,"<｜User｜>Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 0.02, 0.02, 0.03, 0.02, 0.03, 0.04, 0.06, 0.09]"
gsm8k,train_3,"<｜User｜>Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?<｜Assistant｜>",train,"[0.01, 0.0, 0.05, 0.21, 0.34, 0.61, 0.68, 0.71, 0.8, 0.85, 0.91, 0.94, 0.9, 0.86, 0.83, 0.76]"
gsm8k,train_4,<｜User｜>James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.01, 0.02, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.04, 0.03]"
gsm8k,train_5,"<｜User｜>Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.09, 0.14, 0.13, 0.14, 0.14, 0.13, 0.13]"
gsm8k,train_6,"<｜User｜>Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?<｜Assistant｜>",train,"[0.42, 0.34, 0.52, 0.31, 0.29, 0.47, 0.78, 0.88, 0.77, 0.9, 0.87, 0.87, 0.85, 0.76, 0.75, 0.82]"
gsm8k,train_7,"<｜User｜>Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?<｜Assistant｜>",train,"[0.1, 0.13, 0.16, 0.07, 0.15, 0.14, 0.18, 0.2, 0.14, 0.19, 0.17, 0.19, 0.17, 0.19, 0.15, 0.23]"
gsm8k,train_8,"<｜User｜>Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.03, 0.11, 0.17, 0.19, 0.23, 0.24, 0.24]"
gsm8k,train_9,"<｜User｜>Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.04, 0.03, 0.06, 0.1, 0.09, 0.09, 0.1, 0.13]"
