dataset,question_id,question_text,split,early_stop_correct_proportions,difficulty
gsm8k,train_200,"<｜User｜>Sansa is a famous artist, she can draw a portrait and sell it according to its size. She sells an 8-inch portrait for $5, and a 16-inch portrait for twice the price of the 8-inch portrait. If she sells three 8-inch portraits and five 16-inch portraits per day, how many does she earns every 3 days?<｜Assistant｜>",train,"[0.0, 0.01, 0.0, 0.0, 0.0, 0.03, 0.17, 0.45, 0.59, 0.8, 0.82, 0.83, 0.79, 0.85, 0.87, 0.83]",medium
gsm8k,train_201,"<｜User｜>Archibald eats 1 apple a day for two weeks. Over the next three weeks, he eats the same number of apples as the total of the first two weeks. Over the next two weeks, he eats 3 apples a day. Over these 7 weeks, how many apples does he average a week?<｜Assistant｜>",train,"[0.1, 0.04, 0.06, 0.03, 0.04, 0.03, 0.05, 0.09, 0.34, 0.47, 0.52, 0.47, 0.55, 0.53, 0.51, 0.54]",medium
gsm8k,train_202,"<｜User｜>Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?<｜Assistant｜>",train,"[0.94, 0.98, 0.67, 0.91, 0.91, 0.95, 0.94, 0.93, 0.94, 0.89, 0.9, 0.9, 0.89, 0.94, 0.94, 0.93]",easy
gsm8k,train_203,<｜User｜>Benny bought  2 soft drinks for$ 4 each and 5 candy bars. He spent a total of 28 dollars. How much did each candy bar cost?<｜Assistant｜>,train,"[0.4, 0.72, 0.83, 0.84, 0.88, 0.88, 0.85, 0.94, 0.95, 0.93, 0.96, 0.95, 0.96, 0.98, 0.97, 0.93]",easy
gsm8k,train_204,"<｜User｜>Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?<｜Assistant｜>",train,"[0.0, 0.0, 0.04, 0.12, 0.43, 0.59, 0.61, 0.56, 0.55, 0.55, 0.48, 0.54, 0.69, 0.83, 0.88, 0.9]",easy
gsm8k,train_205,"<｜User｜>Wickham is throwing a huge Christmas party. He invites 30 people. Everyone attends the party, and half of the guests bring a plus one (one other person). He plans to serve a 3-course meal for the guests. If he uses a new plate for every course, how many plates does he need in total for his guests?<｜Assistant｜>",train,"[0.01, 0.02, 0.06, 0.21, 0.4, 0.83, 0.88, 0.78, 0.68, 0.36, 0.73, 0.69, 0.56, 0.67, 0.85, 0.86]",easy
gsm8k,train_206,"<｜User｜>There are some lions in Londolozi at first. Lion cubs are born at the rate of 5 per month and lions die at the rate of 1 per month. If there are 148 lions in Londolozi after 1 year, how many lions were there in Londolozi at first?<｜Assistant｜>",train,"[0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.05, 0.12, 0.3, 0.36, 0.5, 0.49]",medium
gsm8k,train_207,<｜User｜>John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?<｜Assistant｜>,train,"[0.0, 0.04, 0.05, 0.23, 0.52, 0.69, 0.81, 0.79, 0.77, 0.74, 0.81, 0.81, 0.78, 0.71, 0.79, 0.8]",medium
gsm8k,train_208,<｜User｜>John puts $25 in his piggy bank every month for 2 years to save up for a vacation. He had to spend $400 from his piggy bank savings last week to repair his car. How many dollars are left in his piggy bank?<｜Assistant｜>,train,"[0.14, 0.17, 0.15, 0.14, 0.38, 0.44, 0.47, 0.47, 0.49, 0.43, 0.49, 0.48, 0.52, 0.57, 0.62, 0.62]",medium
gsm8k,train_209,"<｜User｜>Five coaster vans are used to transport students for their field trip. Each van carries 28 students, 60 of which are boys. How many are girls?<｜Assistant｜>",train,"[0.0, 0.13, 0.21, 0.38, 0.39, 0.39, 0.32, 0.34, 0.3, 0.3, 0.32, 0.38, 0.51, 0.56, 0.59, 0.61]",medium
gsm8k,train_210,"<｜User｜>Bobby has 16 toy cars, and the number of cars he has increases by 50% every year. How many toy cars will Bobby have in three years?<｜Assistant｜>",train,"[0.01, 0.01, 0.0, 0.03, 0.06, 0.04, 0.16, 0.24, 0.36, 0.53, 0.7, 0.69, 0.73, 0.77, 0.75, 0.73]",medium
gsm8k,train_211,"<｜User｜>Last year Jessica paid $1000 for rent, $200 for food, and $100 for car insurance each month. This year her rent goes up by 30%, food costs increase by 50%, and the cost of her car insurance triples because she was at fault in an accident. How much more does Jessica pay for her expenses over the whole year compared to last year?<｜Assistant｜>",train,"[0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0, 0.01, 0.01, 0.02]",hard
gsm8k,train_212,"<｜User｜>Randy just turned 12 and started playing the piano. His friend Sheila told him about the 10,000-hour rule which says, after 10,000 hours of practice, you become an expert or master in your field. If Randy wants to become a piano expert before he is 20, how many hours a day will he need to practice if he practices every day, Monday – Friday, and takes two weeks off for vacation each year?<｜Assistant｜>",train,"[0.0, 0.0, 0.02, 0.01, 0.02, 0.03, 0.0, 0.0, 0.01, 0.01, 0.01, 0.04, 0.0, 0.03, 0.01, 0.02]",hard
gsm8k,train_213,"<｜User｜>Mike and Ted planted tomatoes.  In the morning, Mike planted 50 tomato seeds while Ted planted twice as much as Mike.  In the afternoon, Mike planted 60 tomato seeds while Ted planted 20 fewer tomato seeds than Mike. How many tomato seeds did they plant altogether?<｜Assistant｜>",train,"[0.09, 0.02, 0.02, 0.01, 0.39, 0.54, 0.46, 0.39, 0.57, 0.67, 0.73, 0.66, 0.7, 0.71, 0.72, 0.83]",medium
gsm8k,train_214,<｜User｜>In 6 months Bella and Bob will be celebrating their 4th anniversary.  How many months ago did they celebrate their 2nd anniversary?<｜Assistant｜>,train,"[0.0, 0.09, 0.06, 0.03, 0.04, 0.09, 0.1, 0.09, 0.12, 0.17, 0.09, 0.09, 0.11, 0.1, 0.1, 0.11]",hard
gsm8k,train_215,<｜User｜>A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?<｜Assistant｜>,train,"[0.25, 0.16, 0.06, 0.24, 0.3, 0.55, 0.71, 0.73, 0.78, 0.78, 0.75, 0.69, 0.7, 0.77, 0.79, 0.83]",medium
