dataset,question_id,question_text,split,early_stop_correct_proportions,difficulty,model_predicted_difficulty
gsm8k,train_2100,<｜User｜>Victoria was given a $50 bill by her mother to buy her friends snacks for their group meeting. She bought 2 boxes of pizza that costs $12 each and 2 packs of juice drinks that cost $2 each. How much money should Victoria return to her mother?<｜Assistant｜>,train,"[0.01, 0.0, 0.0, 0.04, 0.02, 0.01, 0.13, 0.4, 0.74, 0.93, 0.95, 0.94, 0.91, 0.94, 0.93, 0.92]",easy,easy
gsm8k,train_2101,"<｜User｜>Brenda and nine of her friends want to order a pizza. They decide that each person will eat 2 slices. If each pizza has 4 slices, how many pizzas should they order?<｜Assistant｜>",train,"[0.0, 0.01, 0.07, 0.23, 0.28, 0.47, 0.52, 0.55, 0.58, 0.55, 0.72, 0.78, 0.81, 0.8, 0.86, 0.81]",medium,easy
gsm8k,train_2102,"<｜User｜>Maria's monthly salary is $2000. 20% of her salary goes to paying tax, and 5% goes to insurance. Also, a quarter of the money left after the deductions is spent on utility bills. How much money does Maria have after the deductions and utility bills payment?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.1, 0.21, 0.44, 0.45, 0.7, 0.72, 0.7, 0.66, 0.71, 0.72]",medium,medium
gsm8k,train_2103,"<｜User｜>A father is buying sand to fill his son's new sandbox, but he is worried that the sand will be too heavy for his car.  The sandbox is square, with each side being 40 inches long.  If a 30-pound bag of sand is enough to fill 80 square inches of the sandbox to an adequate depth, how many pounds of sand are needed to fill the box completely?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.13, 0.1, 0.1, 0.08, 0.16, 0.33, 0.43, 0.44, 0.38, 0.34, 0.39, 0.37]",medium,medium
gsm8k,train_2104,"<｜User｜>Bill is making omelets for his family's breakfast. It takes him 3 minutes to chop a pepper, 4 minutes to chop an onion, and 1 minute to grate enough cheese for one omelet. It takes him 5 minutes to assemble and cook the omelet. If he needs to chop up four peppers, two onions, and also grates cheese for cooking each of five omelets, how long will he spend preparing for and cooking the five omelets?<｜Assistant｜>",train,"[0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.02, 0.0, 0.01, 0.04, 0.06, 0.11, 0.12, 0.13, 0.13]",hard,hard
gsm8k,train_2105,"<｜User｜>Tom decides to take 10 dance lessons that cost $10 each, but he gets two of them for free. How much does he pay?<｜Assistant｜>",train,"[0.63, 0.74, 0.6, 0.72, 0.8, 0.86, 0.88, 0.88, 0.85, 0.84, 0.82, 0.81, 0.84, 0.86, 0.8, 0.87]",easy,easy
gsm8k,train_2106,<｜User｜>Together Felipe and Emilio needed a combined time of 7.5 years to build their homes. Felipe finished in half the time of Emilio. How many months did it take Felipe to build his house?<｜Assistant｜>,train,"[0.03, 0.08, 0.05, 0.05, 0.06, 0.05, 0.03, 0.06, 0.08, 0.07, 0.05, 0.11, 0.12, 0.09, 0.1, 0.1]",hard,medium
gsm8k,train_2107,"<｜User｜>Rhett has been late on two of his monthly rent payments, but his landlord does not charge late fees and so he will be able to pay their total cost with 3/5 of his next month's salary after taxes. If he is currently paid $5000 per month and has to pay 10% tax, calculate his rent expense per month?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.02, 0.02, 0.06, 0.09, 0.27, 0.39, 0.44, 0.51, 0.55, 0.53, 0.49]",medium,hard
gsm8k,train_2108,<｜User｜>Adam bought 15 apples on Monday. On Tuesday he bought 3 times that quantity. On Wednesday he bought 4 times the quantity he bought on Tuesday. What is the total quantity Adam bought on these three days?<｜Assistant｜>,train,"[0.01, 0.0, 0.0, 0.0, 0.0, 0.06, 0.35, 0.67, 0.87, 0.87, 0.89, 0.84, 0.8, 0.81, 0.81, 0.84]",easy,easy
gsm8k,train_2109,"<｜User｜>A mountain range has 200 active volcanoes. In a particular year, 20% of the volcanoes exploded in the first two months, 40% of the remaining exploded by the half of the year, and at the end of the year, another 50% of the volcanoes that hadn't already erupted also exploded. How many mountains are still intact at the end of the year?<｜Assistant｜>",train,"[0.31, 0.07, 0.05, 0.09, 0.17, 0.19, 0.21, 0.44, 0.46, 0.51, 0.62, 0.62, 0.79, 0.76, 0.76, 0.78]",medium,hard
gsm8k,train_2110,"<｜User｜>In a grocery store, Julia bought 2 pieces of Snickers and 3 packs of M&M's. If each piece of Snickers costs $1.5 and a pack of M&M's has the same cost as 2 Snickers, how much is Julia's change if she gave the cashier 2 $10 bills?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.24, 0.39, 0.57, 0.77, 0.69, 0.82, 0.64]",medium,easy
gsm8k,train_2111,"<｜User｜>James spends 10 minutes downloading a game, half as long installing it, and triple that combined amount of time going through the tutorial. How long does it take before he can play the main game?<｜Assistant｜>",train,"[0.07, 0.0, 0.01, 0.02, 0.05, 0.13, 0.21, 0.28, 0.32, 0.34, 0.35, 0.36, 0.39, 0.38, 0.39, 0.47]",medium,medium
gsm8k,train_2112,"<｜User｜>From his apartment, Kona drives 9 miles to the bakery.  From there, he drives 24 miles to his grandmother’s house.  From her house, he drives 27 miles straight to his apartment.  How many additional miles did Kona drive round trip to the bakery stop, compared to a round trip without the bakery stop?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0]",hard,hard
gsm8k,train_2113,<｜User｜>Tina decides to fill a jar with coins. In the first hour she puts in 20 coins. During the next two hours she puts in 30 coins each time. During the fourth hour she puts in 40 coins. During the fifth hour her mother asks to borrow some money so she takes 20 coins out. How many coins are left after the fifth hour?<｜Assistant｜>,train,"[0.36, 0.27, 0.14, 0.2, 0.18, 0.17, 0.26, 0.32, 0.43, 0.44, 0.48, 0.5, 0.5, 0.49, 0.48, 0.5]",medium,medium
gsm8k,train_2114,"<｜User｜>Miles and Daphne are comparing their reading collection and want to figure out who has more pages. They are about to count each page, but their parents suggest that they see whose collection is taller. Mile's collection is taller, but then Daphne notices that Miles reads board books, and so the pages are thicker. After some more measuring, they figure out that for Miles, 1 inch equals 5 pages, but for Daphne 1 inch equals 50 pages. If Miles's books are 240 inches tall and Daphne's collection is 25 inches tall, how many pages are in the longest collection?<｜Assistant｜>",train,"[0.31, 0.08, 0.11, 0.14, 0.07, 0.07, 0.07, 0.11, 0.23, 0.36, 0.41, 0.39, 0.4, 0.36, 0.35, 0.35]",medium,hard
gsm8k,train_2115,"<｜User｜>For his birthday, Aku invited 4 friends. His mother bought 3 packages of cookies each containing 25 cookies. After playing football, the children came to eat and celebrate Aku's 10th birthday, each eating an equal number of all the cookies. Calculate the number of cookies that each child will eat.<｜Assistant｜>",train,"[0.04, 0.04, 0.15, 0.3, 0.43, 0.58, 0.56, 0.67, 0.59, 0.69, 0.65, 0.77, 0.64, 0.71, 0.71, 0.72]",medium,easy
gsm8k,train_2116,"<｜User｜>Rodney is a door-to-door salesman trying to sell home security systems. He gets a commission of $25 for each system he sells. He is canvassing a neighborhood of four streets with eight houses each. The first street gave him half the sales that the second street did, while every house on the third street turned him away and the fourth street resulted in only one sale. His total commission was $175. How many security systems did he sell on the second street?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.01, 0.07, 0.02, 0.01, 0.03, 0.01, 0.02, 0.06, 0.02, 0.07, 0.04, 0.09, 0.05]",hard,hard
gsm8k,train_2117,"<｜User｜>Two friends are racing three miles. The first one runs it in 21 minutes. The second one runs it in 24 minutes. If they keep up the same pace, how long combined will it take for them to run 5 miles each?<｜Assistant｜>",train,"[0.04, 0.1, 0.05, 0.01, 0.06, 0.05, 0.01, 0.02, 0.17, 0.37, 0.5, 0.49, 0.44, 0.55, 0.53, 0.49]",medium,medium
gsm8k,train_2118,"<｜User｜>Brandon has been fired from half the businesses in town and has quit from a third of them. If there are 72 business in town, how many businesses can he still apply to?<｜Assistant｜>",train,"[0.0, 0.1, 0.13, 0.15, 0.17, 0.26, 0.13, 0.19, 0.22, 0.35, 0.29, 0.24, 0.22, 0.31, 0.3, 0.28]",medium,medium
gsm8k,train_2119,<｜User｜>A class of 12 students was about to share 108 oranges equally among themselves when it was discovered that 36 of the oranges were bad and had to be thrown away. How many oranges less will each student get now than if no orange had to be thrown away?<｜Assistant｜>,train,"[0.17, 0.16, 0.21, 0.36, 0.4, 0.55, 0.37, 0.35, 0.36, 0.26, 0.18, 0.2, 0.2, 0.17, 0.16, 0.14]",hard,medium
gsm8k,train_2120,"<｜User｜>In the first round of bowling, Patrick knocked down a total of 70 pins and Richard knocked down 15 more pins than Patrick. In the second round, Patrick knocked down twice as many pins as Richard in the first round and Richard knocked down 3 less than Patrick. How many more pins in total did Richard knock down than Patrick?<｜Assistant｜>",train,"[0.01, 0.03, 0.0, 0.02, 0.0, 0.05, 0.01, 0.01, 0.04, 0.03, 0.03, 0.12, 0.18, 0.21, 0.26, 0.28]",medium,medium
