dataset,question_id,question_text,split,early_stop_correct_proportions,difficulty,gpt_assessment,model_predicted_difficulty
gsm8k,train_3700,<｜User｜>There are three machines in a factory. Machine A can put caps on 12 bottles in 1 minute. Machine B can put caps to 2 fewer bottles than Machine A. Machine C can put caps to 5 more bottles than Machine B. How many bottles can those three machines put caps on in 10 minutes?<｜Assistant｜>,train,"[0.04, 0.0, 0.0, 0.07, 0.12, 0.1, 0.21, 0.29, 0.27, 0.18, 0.49, 0.56, 0.77, 0.8, 0.79, 0.77]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This is a straightforward rate problem involving simple arithmetic operations appropriate for basic algebra, making it easy.""}",medium
gsm8k,train_3701,<｜User｜>John has a sneezing fit for 2 minutes.  He sneezes once every 3 seconds.  How many times does he sneeze?<｜Assistant｜>,train,"[0.27, 0.37, 0.63, 0.8, 0.85, 0.95, 0.9, 0.86, 0.88, 0.9, 0.9, 0.84, 0.87, 0.87, 0.9, 0.94]",easy,"{""difficulty"": ""easy"", ""reasoning"": ""This problem only requires a simple unit conversion and division calculation, suitable for elementary arithmetic practice.""}",easy
gsm8k,train_3702,"<｜User｜>Janet is considering two options to retile her bathroom. The turquoise tiles cost $13/tile and the purple tiles cost $11/tile. If Janet needs to tile two walls that measure 5 feet by 8 feet and 7 feet by 8 feet, and each square foot of wall takes 4 tiles, how much will Janet save by buying the purple tiles instead of the turquoise ones?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.04, 0.07, 0.11, 0.16, 0.21]",medium,"{""difficulty"": ""medium"", ""reasoning"": ""This problem involves multiple steps (area calculation, unit conversion, multiplication, and subtraction) making it more involved than a simple one-step computation.""}",medium
gsm8k,train_3703,"<｜User｜>Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?<｜Assistant｜>",train,"[0.01, 0.03, 0.0, 0.01, 0.03, 0.01, 0.01, 0.02, 0.04, 0.0, 0.0, 0.01, 0.0, 0.04, 0.0, 0.02]",hard,"{""difficulty"": ""medium"", ""reasoning"": ""This problem requires multiple steps (counting gate stops and computing driving time) but involves straightforward arithmetic with rates and sums, making it a medium-level question.""}",hard
gsm8k,train_3704,"<｜User｜>On Black Friday a popular electronics store sells 327 televisions. This is 50 more than they sold last Black Friday. If this sales trend continues and they sell 50 more televisions each year for three years, how many televisions will they sell on Black Friday three years from now?<｜Assistant｜>",train,"[0.0, 0.01, 0.02, 0.02, 0.09, 0.06, 0.1, 0.11, 0.14, 0.2, 0.22, 0.2, 0.19, 0.2, 0.18, 0.14]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward addition and multiplication with small numbers, suitable for basic arithmetic practice.""}",medium
gsm8k,train_3705,"<｜User｜>One of the activities in Grade 6 PE class is to get the average weight of the students from each group. In one of the groups, the average weight of five girls is 45 kg while the average weight of five boys is 55 kg. What is the average weight of the ten students from that group?<｜Assistant｜>",train,"[0.99, 0.8, 0.79, 0.65, 0.6, 0.49, 0.59, 0.66, 0.77, 0.76, 0.75, 0.77, 0.66, 0.45, 0.4, 0.34]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves a straightforward calculation of a weighted average with equal group sizes, suitable for a basic Grade 6 math level.""}",medium
gsm8k,train_3706,"<｜User｜>Bobby received his weekly paycheck today.  Although his salary is $450 per week, his actual paycheck is reduced in size because there are some taxes, insurance payments, and fees removed from his pay before his employer writes the check.  If the government removes 1/3 in federal taxes and 8% in state taxes, the health insurance removes $50 per week, the life insurance removes $20 per week, and the city charges him a fee of $10 per week for parking, then what is the final amount left in Bobby's paycheck, in dollars?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.03, 0.04, 0.06, 0.07, 0.07, 0.08, 0.07]",hard,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward percentage and subtraction calculations without requiring advanced concepts, making it accessible at an elementary algebra level.""}",hard
gsm8k,train_3707,<｜User｜>Colleen is making a batch of 48 cookies. She's going to add 108 chocolate chips and one-third as many M&Ms to the whole batch. What are the average number of chocolate pieces in each cookie?<｜Assistant｜>,train,"[0.26, 0.18, 0.14, 0.05, 0.21, 0.14, 0.12, 0.22, 0.29, 0.25, 0.28, 0.41, 0.36, 0.45, 0.51, 0.41]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward arithmetic with a simple fraction and division to find an average, making it an easy-level question.""}",medium
gsm8k,train_3708,<｜User｜>Rudy runs 5 miles at a rate of 10 minutes per mile. Later he runs 4 miles at a rate of 9.5 minutes per mile. What is the total length of time that Rudy runs?<｜Assistant｜>,train,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.15, 0.4, 0.68, 0.6, 0.66, 0.58, 0.56, 0.56, 0.56, 0.69]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""This problem involves straightforward multiplication and addition of times, suitable for basic arithmetic skills.""}",medium
gsm8k,train_3709,"<｜User｜>June liked to collect cat stickers.  She had a total of 76 in her collection.  Her twin sister Bonnie also collected cat stickers and had 63 in her collection.  For their birthday, their grandparents gave them 25 cat stickers each.  How many combined stickers did they have?<｜Assistant｜>",train,"[0.0, 0.0, 0.0, 0.01, 0.05, 0.19, 0.3, 0.45, 0.52, 0.56, 0.57, 0.57, 0.59, 0.64, 0.72, 0.71]",medium,"{""difficulty"": ""easy"", ""reasoning"": ""The problem requires only basic addition of small whole numbers, making it suitable for early arithmetic practice.""}",easy
